Hugo_Symbol	PDMR	TCGA	IMPACT	Oncotree
CREBBP	10.84337349	6.62879	4.08163	HNSC
EGFR	6.024096386	3.97727	2.04082	HNSC
ERBB2	7.228915663	2.46212	2.04082	HNSC
ERCC2	4.819277108	2.08333	0	HNSC
ESR1	3.614457831	1.32576	0	HNSC
FAT1	34.93975904	23.1061	16.3265	HNSC
FBXW7	7.228915663	7.19697	6.12245	HNSC
FGFR1	8.43373494	0.757576	2.04082	HNSC
FGFR3	3.614457831	2.08333	2.04082	HNSC
FLI1	6.024096386	1.13636	0	HNSC
FLT3	4.819277108	1.70455	4.08163	HNSC
HRAS	6.024096386	6.25	0	HNSC
IDH1	2.409638554	0.757576	0	HNSC
JAK2	2.409638554	1.13636	0	HNSC
KDM6A	4.819277108	3.78788	0	HNSC
KIT	12.04819277	2.84091	2.04082	HNSC
MTOR	8.43373494	1.89394	2.04082	HNSC
NF1	4.819277108	3.78788	0	HNSC
NOTCH1	31.3253012	17.9924	16.3265	HNSC
NTRK1	6.024096386	0.757576	0	HNSC
NTRK3	4.819277108	3.2197	2.04082	HNSC
PBRM1	4.819277108	3.2197	4.08163	HNSC
PDGFB	1.204819277	0.189394	0	HNSC
PDGFRA	9.638554217	3.40909	2.04082	HNSC
PDGFRB	6.024096386	2.27273	2.04082	HNSC
PIK3CA	20.48192771	17.6136	10.2041	HNSC
PIK3R1	4.819277108	1.51515	2.04082	HNSC
PTCH1	10.84337349	3.40909	2.04082	HNSC
PTEN	6.024096386	2.46212	2.04082	HNSC
RB1	3.614457831	3.40909	4.08163	HNSC
RET	7.228915663	3.2197	0	HNSC
ROS1	7.228915663	6.06061	10.2041	HNSC
SETD2	8.43373494	2.46212	4.08163	HNSC
SF3B1	3.614457831	1.70455	2.04082	HNSC
SMARCA4	7.228915663	4.73485	6.12245	HNSC
SPEN	18.07228916	6.06061	4.08163	HNSC
TP53	73.4939759	68.3712	48.9796	HNSC
TSC1	3.614457831	0.757576	0	HNSC
TSC2	7.228915663	1.70455	4.08163	HNSC
VHL	3.614457831	0.189394	0	HNSC
AKT1	0	0.94697	2.04082	HNSC
ARAF	1.204819277	0.568182	0	HNSC
BRAF	0	1.89394	0	HNSC
CDK4	0	0.94697	0	HNSC
FGFR2	0	0.94697	4.08163	HNSC
IDH2	3.614457831	0.378788	0	HNSC
KRAS	0	0.378788	0	HNSC
MAP2K1	0	1.13636	0	HNSC
MAP2K2	0	1.51515	0	HNSC
MDM2	1.204819277	0.757576	0	HNSC
MET	3.614457831	0.94697	4.08163	HNSC
NRAS	0	0.189394	2.04082	HNSC
NTRK2	2.409638554	1.70455	0	HNSC
RAF1	0	0.757576	4.08163	HNSC
SMARCB1	0	0.568182	0	HNSC
SRSF2	0	0.94697	0	HNSC
U2AF1	1.204819277	0.94697	0	HNSC
ZRSR2	0	0.378788	0	HNSC
ABL1	2.173913043	4.54545	3.68421	MEL
AKT1	2.173913043	4.54545	1.05263	MEL
ALK	8.695652174	9.09091	13.6842	MEL
APC	23.91304348	31.8182	13.1579	MEL
ARAF	6.52173913	4.54545	2.10526	MEL
ARID1A	28.26086957	40.9091	11.0526	MEL
ATM	10.86956522	9.09091	8.94737	MEL
BRAF	41.30434783	59.0909	41.0526	MEL
BRCA1	2.173913043	4.54545	5.78947	MEL
BRCA2	23.91304348	13.6364	11.5789	MEL
CDK12	15.2173913	27.2727	4.73684	MEL
CDK4	2.173913043	9.09091	4.21053	MEL
CDKN2A	17.39130435	27.2727	22.6316	MEL
CREBBP	4.347826087	22.7273	8.42105	MEL
EGFR	4.347826087	4.54545	7.89474	MEL
ERBB2	10.86956522	18.1818	4.21053	MEL
ERCC2	4.347826087	4.54545	2.63158	MEL
ESR1	6.52173913	9.09091	3.68421	MEL
FAT1	17.39130435	27.2727	18.4211	MEL
FGFR2	13.04347826	13.6364	9.47368	MEL
FLI1	4.347826087	9.09091	0	MEL
FLT3	15.2173913	18.1818	11.5789	MEL
IDH2	4.347826087	4.54545	0.526316	MEL
JAK2	6.52173913	9.09091	3.15789	MEL
KRAS	2.173913043	4.54545	1.57895	MEL
MAP2K1	4.347826087	4.54545	7.89474	MEL
MAP2K2	2.173913043	4.54545	2.63158	MEL
MET	2.173913043	4.54545	9.47368	MEL
MTOR	8.695652174	18.1818	6.31579	MEL
NF1	19.56521739	22.7273	23.6842	MEL
NOTCH1	10.86956522	13.6364	5.78947	MEL
NRAS	50	31.8182	32.1053	MEL
NTRK1	4.347826087	13.6364	7.89474	MEL
NTRK2	8.695652174	9.09091	7.89474	MEL
NTRK3	17.39130435	22.7273	14.2105	MEL
PBRM1	4.347826087	4.54545	6.84211	MEL
PDGFB	2.173913043	4.54545	0	MEL
PDGFRA	8.695652174	13.6364	7.36842	MEL
PDGFRB	6.52173913	13.6364	5.26316	MEL
PIK3CA	2.173913043	4.54545	5.26316	MEL
PIK3R1	8.695652174	9.09091	1.57895	MEL
PTCH1	6.52173913	4.54545	6.31579	MEL
PTEN	4.347826087	4.54545	13.1579	MEL
RB1	8.695652174	9.09091	5.26316	MEL
RET	15.2173913	22.7273	7.36842	MEL
ROS1	26.08695652	36.3636	18.9474	MEL
SF3B1	8.695652174	18.1818	6.31579	MEL
SMARCA4	17.39130435	31.8182	8.94737	MEL
TP53	32.60869565	40.9091	25.2632	MEL
TSC1	4.347826087	9.09091	3.68421	MEL
TSC2	6.52173913	18.1818	4.73684	MEL
ZRSR2	4.347826087	4.54545	0	MEL
FBXW7	0	0	3.68421	MEL
FGFR1	0	0	3.15789	MEL
FGFR3	0	0	5.78947	MEL
HRAS	0	0	3.15789	MEL
IDH1	0	0	5.26316	MEL
KDM6A	0	0	3.15789	MEL
KIT	2.173913043	0	4.21053	MEL
MDM2	0	0	1.57895	MEL
RAF1	2.173913043	0	4.73684	MEL
SETD2	8.695652174	0	9.47368	MEL
SMARCB1	0	0	0.526316	MEL
SPEN	17.39130435	31.8182	10	MEL
SRSF2	0	0	1.05263	MEL
U2AF1	0	0	1.05263	MEL
VHL	0	0	0.526316	MEL
MLL3	0	0	18.4211	MEL
MLL2	0	0	17.8947	MEL
ABL1	7.692307692	2.47706	1.42566	NSCLC
AKT1	1.282051282	1.19266	0.678887	NSCLC
ALK	7.692307692	7.06422	4.54854	NSCLC
APC	12.82051282	6.33028	4.41276	NSCLC
ARAF	3.846153846	1.10092	1.56144	NSCLC
ARID1A	19.23076923	6.78899	7.87508	NSCLC
ATM	15.38461538	7.61468	7.1962	NSCLC
BRAF	3.846153846	5.41284	5.77054	NSCLC
BRCA1	11.53846154	4.58716	2.3761	NSCLC
BRCA2	7.692307692	6.6055	3.12288	NSCLC
CDK12	7.692307692	3.57798	1.15411	NSCLC
CDKN2A	16.66666667	9.44954	7.26409	NSCLC
CREBBP	10.25641026	6.6055	3.93754	NSCLC
EGFR	10.25641026	9.17431	24.7115	NSCLC
ERBB2	5.128205128	2.75229	3.32654	NSCLC
ERCC2	2.564102564	1.74312	1.15411	NSCLC
ESR1	6.41025641	2.93578	1.35777	NSCLC
FAT1	23.07692308	13.578	8.41819	NSCLC
FBXW7	10.25641026	4.58716	2.44399	NSCLC
FGFR1	5.128205128	2.47706	1.28988	NSCLC
FGFR2	3.846153846	2.84404	0.950441	NSCLC
FGFR3	6.41025641	2.01835	0.882553	NSCLC
FLI1	3.846153846	4.22018	0	NSCLC
FLT3	6.41025641	4.49541	1.62933	NSCLC
IDH1	5.128205128	1.00917	1.08622	NSCLC
IDH2	2.564102564	0.183486	0.203666	NSCLC
JAK2	5.128205128	3.30275	2.3761	NSCLC
KIT	5.128205128	3.76147	2.03666	NSCLC
KRAS	28.20512821	16.2385	27.6986	NSCLC
MAP2K2	3.846153846	0.183486	0.610998	NSCLC
MET	5.128205128	3.3945	4.48065	NSCLC
MTOR	6.41025641	5.77982	3.25866	NSCLC
NF1	11.53846154	12.2936	6.85675	NSCLC
NOTCH1	14.1025641	7.06422	2.85132	NSCLC
NTRK1	12.82051282	4.22018	2.44399	NSCLC
NTRK2	2.564102564	4.6789	1.35777	NSCLC
NTRK3	11.53846154	9.63303	4.75221	NSCLC
PBRM1	3.846153846	2.66055	2.57977	NSCLC
PDGFRA	5.128205128	7.88991	3.5981	NSCLC
PDGFRB	7.692307692	3.21101	2.10455	NSCLC
PIK3CA	11.53846154	8.44037	7.1962	NSCLC
PIK3R1	3.846153846	2.29358	1.35777	NSCLC
PTCH1	6.41025641	3.30275	1.28988	NSCLC
PTEN	7.692307692	6.05505	3.25866	NSCLC
RB1	10.25641026	6.14679	5.56687	NSCLC
RET	11.53846154	4.86239	2.9871	NSCLC
ROS1	7.692307692	7.70642	3.25866	NSCLC
SETD2	11.53846154	5.3211	5.56687	NSCLC
SF3B1	2.564102564	3.3945	1.69722	NSCLC
SMARCA4	20.51282051	7.06422	8.62186	NSCLC
SPEN	11.53846154	5.41284	2.30821	NSCLC
SRSF2	1.282051282	1.10092	0.610998	NSCLC
TP53	82.05128205	65.5963	54.243	NSCLC
TSC1	2.564102564	2.38532	1.69722	NSCLC
TSC2	3.846153846	3.11927	2.17244	NSCLC
VHL	2.564102564	0.550459	0.271555	NSCLC
ZRSR2	1.282051282	0.458716	0.135777	NSCLC
CDK4	0	0.642202	0.678887	NSCLC
HRAS	0	1.00917	0.203666	NSCLC
KDM6A	1.282051282	3.94495	2.03666	NSCLC
MAP2K1	0	1.65138	1.01833	NSCLC
MDM2	1.282051282	1.10092	0.678887	NSCLC
NRAS	1.282051282	1.00917	1.222	NSCLC
PDGFB	0	0.825688	0	NSCLC
RAF1	0	0.917431	0.882553	NSCLC
SMARCB1	0	0.825688	0.678887	NSCLC
U2AF1	0	1.46789	2.24033	NSCLC
MLL3	0	0	5.56687	NSCLC
MLL2	0	0	7.33198	NSCLC
APC	10.11235955	2.16216	2.08877	PAAD
ARAF	1.123595506	1.08108	0.261097	PAAD
ARID1A	11.23595506	4.86486	9.13838	PAAD
ATM	14.60674157	4.32432	2.87206	PAAD
BRAF	2.247191011	1.08108	0.78329	PAAD
BRCA1	7.865168539	1.08108	1.04439	PAAD
BRCA2	4.494382022	1.08108	3.39426	PAAD
CDK12	3.370786517	0.540541	0.522193	PAAD
CDKN2A	33.70786517	18.9189	16.7102	PAAD
CREBBP	8.988764045	1.62162	0.522193	PAAD
EGFR	4.494382022	0.540541	0.78329	PAAD
ERBB2	4.494382022	1.08108	0.78329	PAAD
FAT1	11.23595506	2.16216	0.261097	PAAD
FGFR2	2.247191011	0	0.522193	PAAD
IDH1	0	0.540541	0.261097	PAAD
KDM6A	4.494382022	3.78378	3.39426	PAAD
KRAS	96.77	63.7838	90.3394	PAAD
MET	0	0.540541	0.522193	PAAD
MTOR	3.370786517	1.62162	0.261097	PAAD
NF1	3.370786517	2.7027	0.78329	PAAD
NOTCH1	3.370786517	1.62162	1.30548	PAAD
NTRK2	1.123595506	1.08108	0.522193	PAAD
NTRK3	2.247191011	1.62162	0.78329	PAAD
PBRM1	8.988764045	2.7027	1.56658	PAAD
PTCH1	4.494382022	1.08108	0.78329	PAAD
RAF1	5.617977528	0.540541	0.522193	PAAD
RB1	5.617977528	0.540541	3.13316	PAAD
ROS1	10.11235955	0.540541	1.04439	PAAD
SETD2	3.370786517	1.08108	1.82768	PAAD
SF3B1	2.247191011	1.62162	1.30548	PAAD
SMARCA4	4.494382022	1.08108	2.34987	PAAD
SPEN	8.988764045	2.16216	0	PAAD
TP53	86.51685393	58.3784	70.235	PAAD
TSC1	1.123595506	0.540541	0	PAAD
TSC2	7.865168539	1.08108	0.261097	PAAD
VHL	0	0	0	PAAD
ESR1	1.123595506	1.08108	0.522193	PAAD
PDGFB	0	0	0	PAAD
ERCC2	3.370786517	2.16216	0.261097	PAAD
FBXW7	2.247191011	2.7027	0.522193	PAAD
FGFR1	3.370786517	0.540541	0.78329	PAAD
FLT3	0	1.08108	0.522193	PAAD
IDH2	0	0.540541	0.261097	PAAD
JAK2	1.123595506	1.08108	0.522193	PAAD
MAP2K1	2.247191011	0.540541	0.261097	PAAD
MAP2K2	0	0.540541	0.261097	PAAD
MDM2	0	1.08108	0.78329	PAAD
NRAS	1.123595506	0.540541	0.522193	PAAD
NTRK1	0	2.16216	1.04439	PAAD
PDGFRB	0	1.08108	0.522193	PAAD
PIK3CA	3.370786517	2.7027	3.65535	PAAD
PIK3R1	0	0.540541	0.261097	PAAD
RET	7.865168539	1.08108	0.78329	PAAD
SMARCB1	0	0.540541	0.522193	PAAD
U2AF1	2.247191011	1.62162	0.522193	PAAD
ZRSR2	0	0.540541	0.261097	PAAD
ABL1	1.123595506	0.540541	0.522193	PAAD
AKT1	0	0.540541	0.261097	PAAD
ALK	1.123595506	1.08108	1.56658	PAAD
ABL1	0.854700855	2.547770701	1.923076923	SARCOMA
AKT1	1.709401709	0	0	SARCOMA
ALK	5.982905983	1.910828025	2.884615385	SARCOMA
APC	7.692307692	4.458598726	3.846153846	SARCOMA
ARAF	2.564102564	0.636942675	0	SARCOMA
ARID1A	5.128205128	2.547770701	0.961538462	SARCOMA
ATM	7.692307692	5.732484076	2.884615385	SARCOMA
BRAF	0.854700855	0.636942675	3.846153846	SARCOMA
BRCA1	4.273504274	0	1.923076923	SARCOMA
BRCA2	9.401709402	3.184713376	1.923076923	SARCOMA
CDK12	0	3.184713376	2.884615385	SARCOMA
CDK4	0.854700855	0.636942675	0	SARCOMA
CDKN2A	0.854700855	0.636942675	6.730769231	SARCOMA
CREBBP	5.128205128	1.910828025	0.961538462	SARCOMA
EGFR	2.564102564	2.547770701	0.961538462	SARCOMA
ERBB2	0.854700855	1.910828025	0.961538462	SARCOMA
ERCC2	3.418803419	0.636942675	1.923076923	SARCOMA
ESR1	1.709401709	0.636942675	0	SARCOMA
FAT1	11.11111111	7.006369427	5.769230769	SARCOMA
FBXW7	0.854700855	0	1.923076923	SARCOMA
FGFR1	3.418803419	3.821656051	1.923076923	SARCOMA
FGFR2	0.854700855	1.27388535	0	SARCOMA
FGFR3	2.564102564	1.910828025	0.961538462	SARCOMA
FLI1	0.854700855	0.636942675	0	SARCOMA
FLT3	1.709401709	0	5.769230769	SARCOMA
HRAS	0.854700855	0	0.961538462	SARCOMA
IDH1	1.709401709	1.27388535	0.961538462	SARCOMA
IDH2	0.854700855	0	0	SARCOMA
JAK2	0.854700855	0	0	SARCOMA
KDM6A	2.564102564	0.636942675	0.961538462	SARCOMA
KIT	5.128205128	3.821656051	4.807692308	SARCOMA
KRAS	2.564102564	2.547770701	2.884615385	SARCOMA
MAP2K1	0.854700855	0.636942675	0	SARCOMA
MAP2K2	0.854700855	0.636942675	0	SARCOMA
MDM2	0	4.458598726	0.961538462	SARCOMA
MET	1.709401709	3.821656051	0.961538462	SARCOMA
MTOR	3.418803419	0.636942675	0.961538462	SARCOMA
NF1	11.11111111	6.369426752	5.769230769	SARCOMA
NOTCH1	10.25641026	3.184713376	0.961538462	SARCOMA
NRAS	1.709401709	0.636942675	1.923076923	SARCOMA
NTRK1	3.418803419	2.547770701	1.923076923	SARCOMA
NTRK2	2.564102564	2.547770701	0.961538462	SARCOMA
NTRK3	1.709401709	2.547770701	1.923076923	SARCOMA
PBRM1	1.709401709	3.184713376	1.923076923	SARCOMA
PDGFB	1.709401709	1.910828025	0	SARCOMA
PDGFRA	2.564102564	2.547770701	0	SARCOMA
PDGFRB	2.564102564	1.910828025	1.923076923	SARCOMA
PIK3CA	3.418803419	4.458598726	7.692307692	SARCOMA
PIK3R1	0	1.910828025	0.961538462	SARCOMA
PTCH1	4.273504274	3.184713376	3.846153846	SARCOMA
PTEN	2.564102564	5.095541401	3.846153846	SARCOMA
RAF1	0	0.636942675	0.961538462	SARCOMA
RB1	6.837606838	16.56050955	5.769230769	SARCOMA
RET	4.273504274	2.547770701	0.961538462	SARCOMA
ROS1	5.128205128	1.910828025	1.923076923	SARCOMA
SETD2	8.547008547	1.910828025	1.923076923	SARCOMA
SF3B1	0.854700855	1.27388535	0	SARCOMA
SMARCA4	3.418803419	2.547770701	0.961538462	SARCOMA
SMARCB1	0	0.636942675	0.961538462	SARCOMA
SPEN	9.401709402	2.547770701	2.884615385	SARCOMA
SRSF2	0	1.910828025	0	SARCOMA
TP53	41.02564103	55.41401274	32.69230769	SARCOMA
TSC1	2.564102564	2.547770701	0	SARCOMA
TSC2	9.401709402	3.821656051	0.961538462	SARCOMA
U2AF1	0.854700855	0.636942675	0.961538462	SARCOMA
VHL	0	0	0	SARCOMA
ZRSR2	2.564102564	0	0	SARCOMA
MLL3	0	0	0.961538462	SARCOMA
MLL2	0	0	3.846153846	SARCOMA
