Hugo	PDMR	TCGA	IMPACT	Group
NTRK1	3.374233129	1.63506	2.43578	PDC
NTRK2	3.374233129	1.22872	2.73073	PDC
NTRK3	6.748466258	2.38003	4.16746	PDC
PBRM1	7.055214724	3.5507	4.71931	PDC
PDGFB	0.920245399	0	0.865842	PDC
PDGFRA	3.680981595	2.15751	3.89153	PDC
PDGFRB	3.987730061	1.52864	2.53092	PDC
PIK3CA	16.56441718	12.5387	13.6061	PDC
PIK3R1	5.521472393	2.44776	4.37678	PDC
PTCH1	7.055214724	2.14783	3.31113	PDC
PTEN	10.42944785	6.11455	8.71551	PDC
RAF1	1.533742331	0.919118	1.43673	PDC
RB1	6.441717791	4.80844	4.60514	PDC
RET	7.668711656	1.92531	3.24453	PDC
ROS1	11.34969325	3.15402	5.46147	PDC
SETD2	7.975460123	4.22794	4.61465	PDC
SF3B1	3.067484663	2.08011	3.0352	PDC
SMARCA4	9.509202454	4.30534	4.68126	PDC
SMARCB1	1.226993865	0.880418	1.17983	PDC
SPEN	13.49693252	3.32817	5.62322	PDC
SRSF2	0.920245399	0.396672	0.903901	PDC
TP53	68.40490798	41.9505	37.2693	PDC
TSC1	3.067484663	1.80921	2.59753	PDC
TSC2	9.202453988	2.41873	3.10181	PDC
U2AF1	1.226993865	0.841718	1.15128	PDC
VHL	3.067484663	1.84791	2.14082	PDC
ZRSR2	3.680981595	0.367647	0.656518	PDC
MLL2	0	8.03986	0	PDC
MLL3	0	6.0565	0	PDC
ABL1	5.898876404	1.33514	2.30257	PDOrg
AKT1	0.842696629	1.49961	1.49382	PDOrg
ALK	7.865168539	3.02825	4.20552	PDOrg
APC	38.20224719	10.594	8.40152	PDOrg
ARAF	2.528089888	1.07392	1.51284	PDOrg
ARID1A	21.91011236	8.26238	8.54424	PDOrg
ATM	11.79775281	5.02128	6.02284	PDOrg
BRAF	9.269662921	5.15673	7.51665	PDOrg
BRCA1	7.303370787	2.07043	2.97812	PDOrg
BRCA2	16.01123596	3.72485	4.87155	PDOrg
CDK12	5.056179775	1.86726	3.2255	PDOrg
CDK4	1.123595506	0.406347	0.76118	PDOrg
CDKN2A	12.64044944	4.46981	4.196	PDOrg
CREBBP	14.60674157	4.17957	5.50904	PDOrg
EGFR	6.460674157	5.7082	5.0999	PDOrg
ERBB2	6.460674157	2.96053	3.45385	PDOrg
ERCC2	4.213483146	1.35449	2.09324	PDOrg
ESR1	4.213483146	2.18653	2.10276	PDOrg
FAT1	17.69662921	5.54373	8.3254	PDOrg
FBXW7	12.35955056	3.2024	5.23311	PDOrg
FGFR1	4.775280899	1.08359	2.16936	PDOrg
FGFR2	4.494382022	1.51896	3.06375	PDOrg
FGFR3	4.775280899	2.09946	2.3216	PDOrg
FLI1	3.651685393	0	1.97907	PDOrg
FLT3	3.651685393	1.67376	2.72122	PDOrg
HRAS	1.123595506	0.938467	1.5509	PDOrg
IDH1	3.08988764	2.9702	5.37583	PDOrg
IDH2	2.808988764	0.638545	1.00856	PDOrg
JAK2	5.617977528	1.18034	2.09324	PDOrg
KDM6A	4.213483146	3.25077	3.8725	PDOrg
KIT	1.404494382	2.68963	3.2255	PDOrg
KRAS	32.58426966	15.567	7.88773	PDOrg
MAP2K1	1.685393258	0.967492	1.28449	PDOrg
MAP2K2	2.528089888	0.599845	0.94196	PDOrg
MDM2	2.528089888	0.580495	0.980019	PDOrg
MET	4.775280899	2.11881	3.01618	PDOrg
MTOR	7.02247191	2.95085	4.40533	PDOrg
NF1	10.11235955	5.57276	7.07897	PDOrg
NOTCH1	10.39325843	4.20859	5.19505	PDOrg
NRAS	5.056179775	2.40906	3.00666	PDOrg
NTRK1	4.494382022	1.63506	2.43578	PDOrg
NTRK2	3.08988764	1.22872	2.73073	PDOrg
NTRK3	6.741573034	2.38003	4.16746	PDOrg
PBRM1	6.460674157	3.5507	4.71931	PDOrg
PDGFB	1.685393258	0	0.865842	PDOrg
PDGFRA	5.056179775	2.15751	3.89153	PDOrg
PDGFRB	5.337078652	1.52864	2.53092	PDOrg
PIK3CA	18.82022472	12.5387	13.6061	PDOrg
PIK3R1	5.617977528	2.44776	4.37678	PDOrg
PTCH1	7.584269663	2.14783	3.31113	PDOrg
PTEN	11.51685393	6.11455	8.71551	PDOrg
RAF1	1.404494382	0.919118	1.43673	PDOrg
RB1	6.460674157	4.80844	4.60514	PDOrg
RET	7.865168539	1.92531	3.24453	PDOrg
ROS1	10.39325843	3.15402	5.46147	PDOrg
SETD2	8.146067416	4.22794	4.61465	PDOrg
SF3B1	3.93258427	2.08011	3.0352	PDOrg
SMARCA4	8.988764045	4.30534	4.68126	PDOrg
SMARCB1	1.404494382	0.880418	1.17983	PDOrg
SPEN	12.92134831	3.32817	5.62322	PDOrg
SRSF2	1.123595506	0.396672	0.903901	PDOrg
TP53	66.57303371	41.9505	37.2693	PDOrg
TSC1	3.08988764	1.80921	2.59753	PDOrg
TSC2	8.707865169	2.41873	3.10181	PDOrg
U2AF1	0.842696629	0.841718	1.15128	PDOrg
VHL	1.685393258	1.84791	2.14082	PDOrg
ZRSR2	3.93258427	0.367647	0.656518	PDOrg
MLL2	0	8.03986	0	PDOrg
MLL3	0	6.0565	0	PDOrg
